patch	status	files_total	files_missing	hunks	hunks_failed	detail
extra/ungoogled-chromium/default-webrtc-ip-handling-policy.patch	CLEAN	1	0	1	0	
extra/ungoogled-chromium/add-flags-for-existing-switches.patch	CLEAN	3	2	3	0	
extra/ungoogled-chromium/first-run-page.patch	CLEAN	4	1	5	0	
extra/ungoogled-chromium/add-flag-to-reduce-system-info.patch	CLEAN	5	0	8	0	
extra/ungoogled-chromium/add-flag-to-remove-client-hints.patch	CLEAN	6	0	9	0	
extra/ungoogled-chromium/disable-downloads-page-referrer-url.patch	CLEAN	1	0	1	0	
extra/ungoogled-chromium/enable-extra-locales.patch	CLEAN	4	0	5	0	
extra/ungoogled-chromium/disable-chromelabs.patch	CLEAN	1	0	1	0	
extra/ungoogled-chromium/remove-pac-size-limit.patch	CLEAN	1	0	1	0	
extra/ungoogled-chromium/enable-certificate-transparency-and-add-flag.patch	CLEAN	2	0	2	0	
extra/ungoogled-chromium/add-flag-to-spoof-webgl-renderer-info.patch	CLEAN	5	0	6	0	
extra/ungoogled-chromium/add-flag-to-increase-incognito-storage-quota.patch	CLEAN	4	0	6	0	
extra/ungoogled-chromium/add-credits.patch	CLEAN	3	1	5	0	
extra/ungoogled-chromium/disable-ai-search-shortcuts.patch	CLEAN	2	0	2	0	
extra/ungoogled-chromium/disable-fedcm-by-default.patch	CLEAN	1	0	1	0	
extra/fingerprint/000-add-fingerprint-switches.patch	CLEAN	3	0	3	0	
extra/fingerprint/001-disable-runtime.enable.patch	NO_TARGET	2	2	3	0	can't find file to patch at input line 5;can't find file to patch at input line 68;
extra/fingerprint/002-user-agent-fingerprint.patch	CLEAN	10	1	19	0	
extra/fingerprint/003-audio-fingerprint.patch	CLEAN	1	0	3	0	
extra/fingerprint/005-hardware-concurrency-fingerprint.patch	CLEAN	2	0	2	0	
extra/fingerprint/006-font-fingerprint.patch	CLEAN	1	0	3	0	
extra/fingerprint/007-shadow-root.patch	OFFSET	3	0	3	0	
extra/fingerprint/009-webdriver.patch	OFFSET	1	0	1	0	
extra/fingerprint/010-headless.patch	OFFSET	1	0	1	0	
extra/fingerprint/011-gpu-info.patch	CLEAN	7	4	9	0	
extra/fingerprint/012-canvas-get-image-data.patch	CLEAN	3	0	9	0	
extra/fingerprint/013-canvas-toDataURL.patch	CLEAN	1	0	3	0	
extra/fingerprint/014-client-rects.patch	CLEAN	6	0	13	0	
extra/fingerprint/015-canvas-measure-text.patch	CLEAN	1	0	1	0	
extra/fingerprint/016-webgl-readPixels.patch	CLEAN	1	0	4	0	
extra/fingerprint/018-timezone.patch	CLEAN	1	0	4	0	
